11000000000000000000100000000000	128	ADD R1, R0, R0
11000000000000000011000000000000	132	ADD R6, R0, R0
11100000000100000000000000000011	136	ADDI R2, R0, #3
00001000001000100000000000001001	140	BEQ R1, R2, #36
00011100110000110000000010111000	144	LW R3, 184(R6)
00011100110001000000000011001000	148	LW R4, 200(R6)
11000011001000100010100000000000	152	MUL R5, R3, R4
00010000101000000000000000000001	156	BGTZ R5, #4
11100101001010000000000000001100	160	ADDI R5, R5, #12
00011000110001010000000011011000	164	SW R5, 216(R6)
11100001000010000000000000000001	168	ADDI R1, R1, #1
11100110001100000000000000000100	172	ADDI R6, R6, #4
00000000000000000000000000100011	176	J #140
00010100000000000000000000001101	180	BREAK
11111111111111111111111111111111	184	-1
11111111111111111111111111111110	188	-2
11111111111111111111111111111101	192	-3
00000000000000000000000000000001	196	1
00000000000000000000000000000010	200	2
00000000000000000000000000000100	204	4
11111111111111111111111111111100	208	-4
00000000000000000000000000001010	212	10
00000000000000000000000000000111	216	7
00000000000000000000000000001001	220	9
00000000000000000000000000000001	224	1
00000000000000000000000000000000	228	0
11111111111111111111111111111111	232	-1
00000000000000000000000000000001	236	1
11111111111111111111111111111111	240	-1
00000000000000000000000000000000	244	0
